
--- Transcribing WhatsApp Ptt 2026-06-05 at 1.15.49 PM.mp3 ---
[0.00s -> 2.70s]  كيف حبيبي دا اوهل
[126.24s -> 142.24s]  حنجيب كمان ناس متخصصة في السربي لهم ما بيعملوا الاكترومي كانك البشيل الأصف المستعارة ويشوف الموجودة في الأصف ويشوف يقدر يحط رسومات الاكترومي كانك اللي ما لهاش أصدر المهيش موجودة في المشروة
[142.24s -> 172.22s]  للمشروب 30 سنة ما كانش حاجة تتخذ زن في زك الوقت ومتلوب نحنا نعمل ربورت كامل على كلام دفع طبعا شان تكلفت النكتب عتك من تامل اسسمنت لكامان للسرقش في المبنى انه تأتي بنازة ببيرو بيرتاس اغطي بناسب متخصصة روح تشيك على خرسانة هل ممكن ييش المبنى بعد 30 سنة وهل فيكراكس وانتوشكراكس هل خرسانة تتحمل تزاود ايمسحة اضافية لان هو طبعا
[172.24s -> 202.24s]  باندلسة هو بيدواته عندي ميو 50 موزف ومحتاجميت موزفتيني فطبعا شان تعمل كلام دى ما احتاج عم مد زيادة ما احتاج المصاعد الموجودة هل كباس تتسمح او ما تسمعش هل هل درزاود دورة على الموجودة شان خودة لستفى جديد دوات هل هل هزاود اكسنشل للمبنى جمبه هل درح فهو عمل خرسانة وكسنشل كلام دى يعني في كوست على للسشاري عائلي وفي كوست للدرساطة لها بتعمل فهو بي
[202.24s -> 232.24s]  وبناء على الدرساط أو الفيزة والدستديز حن قرر زكا ممكن نهد من مبنى او نعم الوحدي انا شخصين كا كن سلطاً بقول ان انا هرد دى ما بنا كل حكاة كلام عالفة كمسنه كمسنه كلم فارد يعني ممكن يخدسانا في تنفيزا عملت ومن النهار دى بسرعة وخلصه حيكون كموضر نحيكون بديد وكل حاجة مدشنج وعال كوز وعال اثوريتيز وعالى السيستمستات اللى في سفتي وحميت الناس وكلم دى وكمان انا هردى كمان فيدي
[232.24s -> 262.24s]  اوتي اللى هي دي بارتمنط افتران سبورتيشن بتطلب عادد معايا من السيارات مقدل عاددة موزفين الموجودين مدى طبعاً من 30 سنة مش موجود فانهردى على شان عمل كلم دى محتاج عمل اساس منطل عادد السيارات وان يمكن عمل ترافك ان بك تستطيع شان ادرس منطل المحيطة وعادد السيارات والتريب جناريشن دخولوا خروج السيارات وعاددها ومحتاج كموى موزفلوا عربيات وان يمكن يقول لي لانا محتاج بارتين تحت الارضة ومحتاج
[262.24s -> 272.64s]  تجشيز راتل ان استبامعا وستينبليتي ركوار منطف استبامعين او بضبي اتسركوار اصرطاً كورد قارشيز
[272.64s -> 286.32s]  قلم دى كله محتاج دراسات انا انها رشن علف وخم سويد منطر اتعب مكتب السيشاري بالكامل اشان يعمل يعد يعمل دراسات اشيك قلم دى ام فعولا عبس اللى مفهوم انه جهت العليل هزي الادرات
[286.32s -> 296.56s]  ما تجد اخوط قرار بالهدما من غير ما تطلب ان يتعمل دراسات فنية على الموضوع عشان يتخذ في تقرير بالهدما او بالرينوويشين
[296.56s -> 310.40s]  فأنا وجد نظر كاكم سوطنت ان انا حعدم الربورت بتاعي او الربورت لنا طالب ان انا عمل ودروأتي ان انا حول انا مطر عشان اعمل الالستاضي المطلوبة
[310.40s -> 311.36s]  هبعت ناس تعمل سربي ترسم المباني تتحطلها رسومات مع ماري ونشاء وصحة وقهربة هبعت ناس تكشف الاسوف وتدرس تعمل سربي لالأس بلت درونز الموجودة او الأس بلت بلدن للموجودة سيعمل رسومات في زي اس بلت اعلى الوقع عشان اقدر ارحل اثوريتي وشوفها اللي جلتي بتعت المباني وقعا والسيط باك بتاعتها مصبوط ارتفع ارتفع مصبوط في دراسات هبعت ناس مطخص
[340.40s -> 349.62s]  في الانشاء اجرس الادي ايش او اقدر يعيزيت في عضاد التعبع أو يتوسى او أيشتانيين امى عشى الناس الاادافي هي
[349.62s -> 360.60s]  كلمدة مشتكل ادTOR الصوت فأنا عشان عمل كلامدة انا شيء فنبد drive كوست عائلي و عايز احطع ال�hurيrelax يقول انه انا هامل واحتين كلمدة. ايرباد Madm
[360.60s -> 366.80s]  من وجد مازاري يكلف وتكلفتو وانا حوطة بعال من وجد مازاري تكلفة هل أبط؟
[366.80s -> 372.24s]  انا بقترة انا تكون سلطانت من خلال الريفورة اللي جالي اول رفبي
[372.24s -> 381.60s]  ان نتيجة المبنظ غير وانه متهالك او تبقى الريفورت او السيد بزيط اللي تمت بنشوف ان المباني
[381.60s -> 387.92s]  مش مستحلة ان هي نعونا ملهر انو بيش المغارفة اشوه تال افضل انها تتحدث تتعمل من تيني
[388.92s -> 396.92s]  فيكون تقرير في two options بالسعرين ده يخدوا اتقدي افتن فيزو او فتصميم والتصميم والأول وانتن فيزو
[396.92s -> 407.92s]  و ده يخدوا اتقدي افعمل الدراسات وبعد ان عامل التصميم وبعد ان عامل المقترحات وطرحة من اقصى وبعد ان تنفيزة ده يكلف اتقدي
[437.92s -> 443.92s]  اس؟ Helen the two options and based on these two options I'll put my price is thank you as a consultant, thank you
